box,title,address,type,types,kosher,phone,image-src
קסיס - CASSIS,"קסיס - CASSIS, יפו, תל אביב  חוף גבעת העלייה","יפו, תל אביב",מסעדה ים תיכונית,"ארוחת בוקר , דגים , פירות ים ואוכל ים תיכוני",null,053-9419228,https://images.rest.co.il/Rests/staticmaps/80133367/s1w566h250lon34.746118lat32.037714.png
דופו,"דופו, תל אביב","הנחושת 4, תל אביב",null,null,null,03-6991111,https://images.rest.co.il/Rests/staticmaps/80328391/s1w566h250lon34.778934lat32.066236.png
cofix,"cofix, לונדון מיניסטורס, תל אביב  לונדון מיניסטור","שד' שאול המלך 4, לונדון מיניסטורס, תל אביב",בית קפה,null,כשר,053-9378725,https://images.rest.co.il/Rests/staticmaps/80216646/s1w566h250lon34.782721lat32.075448.png
הטורקיה,"הטורקיה, אבן גבירול, תל אביב","אבן גבירול 92, תל אביב",מסעדה תורכית,null,כשר,053-9366498,https://images.rest.co.il/Rests/staticmaps/10165260/s1w566h250lon34.781439lat32.082968.png
ערוסה ישראלית,"ערוסה ישראלית, תל אביב","דרך שלמה 44, תל אביב",אוכל רחוב,null,null,053-9347878,https://images.rest.co.il/Rests/staticmaps/80302112/s1w566h250lon34.767093lat32.054904.png
Fasada,"Fasada, תל אביב","דיזנגוף 196, תל אביב",בית קפה,null,null,054-5029922,https://images.rest.co.il/Rests/staticmaps/80328378/s1w566h250lon34.778934lat32.066236.png
שמונים וחמש,"שמונים וחמש, תל אביב","מוהליבר 43, תל אביב",פיצריה,null,null,03-7599759,https://images.rest.co.il/Rests/staticmaps/80322599/s1w566h250lon34.778934lat32.066236.png
טוסט החברים,"טוסט החברים, יפו, תל אביב","יפת 154, יפו, תל אביב",אוכל רחוב,null,null,053-9381020,https://images.rest.co.il/Rests/staticmaps/80223675/s1w566h250lon34.751457lat32.041353.png
קפה נטו,"קפה נטו, דיזנגוף, תל אביב  דיזנגוף סנטר, אגף דרומי, קומה 2","דיזנגוף 50, תל אביב",בית קפה,null,כשר,053-9383780,https://images.rest.co.il/Rests/staticmaps/71642470/s1w566h250lon34.775501lat32.075167.png
פטבויז - FAT BOYZ,"פטבויז - FAT BOYZ, תל אביב","קרליבך 39, תל אביב",מסעדת בשרים,null,כשר,053-5494918,https://images.rest.co.il/Rests/staticmaps/80216470/s1w566h250lon34.782437lat32.070458.png
אוליברי,"אוליברי, אבן גבירול, תל אביב","אבן גבירול 137, תל אביב",מסעדה איטלקית,אוכל איטלקי ופיצה,₪,053-9426855,https://images.rest.co.il/Rests/staticmaps/80111526/s1w566h250lon34.78242lat32.089329.png
טורקיז,"טורקיז, צפון תל אביב  סי אנד סאן","הרצל רוזנבלום 6, צפון תל אביב",מסעדת דגים,null,₪₪₪,053-9443357,https://images.rest.co.il/Rests/staticmaps/22121160/s1w566h250lon34.791247lat32.137929.png
ג'אבה - JAVATLV,"ג'אבה  - JAVATLV, תל אביב","בן יהודה 196, תל אביב",בית קפה,null,₪,053-9367327,https://images.rest.co.il/Rests/staticmaps/80185122/s1w566h250lon34.773918lat32.089605.png
L adress,"L adress, תל אביב","יהודה הלוי 44, תל אביב",בית קפה,null,₪,053-9373890,https://images.rest.co.il/Rests/staticmaps/80304218/s1w566h250lon34.772785lat32.061561.png
סטאוט,"סטאוט, תל אביב","הארבעה 14, תל אביב",פאב-בר,null,null,03-5618880,https://images.rest.co.il/Rests/staticmaps/80007626/s1w566h250lon34.778934lat32.066236.png
ג'ואן - Joanne,"ג'ואן - Joanne, תל אביב","ראש פינה 16, תל אביב",מסעדה אסייאתית,null,null,053-9370395,https://images.rest.co.il/Rests/staticmaps/80204416/s1w566h250lon34.781686lat32.058365.png
המלבי של הג'ינג'י,"המלבי של הג'ינג'י, תל אביב",תל אביב,מטבח ביתי,null,null,054-6297911,
סושי בר - one,"סושי בר - one, רמת החייל, תל אביב","הברזל 3, רמת החייל, תל אביב",מסעדה אסייאתית,null,null,053-7102064,https://images.rest.co.il/Rests/staticmaps/80156429/s1w566h250lon34.834734lat32.106552.png
חמדה עוגות,"חמדה עוגות, תל אביב","קרליבך 13, תל אביב",קונדיטוריה-מאפיה,null,null,03-5615005,https://images.rest.co.il/Rests/staticmaps/80104163/s1w566h250lon34.783218lat32.067383.png
הגברת הזקנה - The Old Lady,"הגברת הזקנה - The Old Lady, יפו, תל אביב","עמיעד 14, יפו, תל אביב",פיצריה,null,null,053-9383060,https://images.rest.co.il/Rests/staticmaps/80292492/s1w566h250lon34.755844lat32.053306.png
ריץ' רץ',"ריץ' רץ', דיזנגוף, תל אביב","דיזנגוף 192, תל אביב",פאב-בר,null,null,053-7103040,https://images.rest.co.il/Rests/staticmaps/80159442/s1w566h250lon34.774733lat32.085837.png
קדם קפה,"קדם קפה, יפו, תל אביב","ככר קדומים 15, יפו, תל אביב",בית קפה,null,null,053-9369214,https://images.rest.co.il/Rests/staticmaps/80199445/s1w566h250lon34.751843lat32.053436.png
אדון שיפון,"אדון שיפון, תל אביב","אלנבי 48, תל אביב",קונדיטוריה-מאפיה,null,null,053-9380356,https://images.rest.co.il/Rests/staticmaps/80220863/s1w566h250lon34.769542lat32.071496.png
מובינג - Movieing,"מובינג - Movieing, דיזנגוף, תל אביב  פינת דיזינגוף 308","ירמיהו 25, דיזנגוף, תל אביב",בית קפה,null,₪,053-9439322,https://images.rest.co.il/Rests/staticmaps/67954390/s1w566h250lon34.77649lat32.094883.png
"מעדנה מוזיאון בע""מ","מעדנה מוזיאון בע""מ, תל אביב","שד' שאול המלך 27, תל אביב",בית קפה,null,כשר,053-9419591,https://images.rest.co.il/Rests/staticmaps/80166225/s1w566h250lon34.787408lat32.076591.png
בורגראנץ',"בורגראנץ' , צפון תל אביב  שכון דן","פנחס רוזן 72, צפון תל אביב",מסעדת המבורגרים,null,₪,053-8096239,https://images.rest.co.il/Rests/staticmaps/64409450/s1w566h250lon34.825525lat32.114596.png
טבעונמי,"טבעונמי, תל אביב","אחד העם 15, תל אביב",מסעדה טבעונית,null,null,053-9387501,https://images.rest.co.il/Rests/staticmaps/80228934/s1w566h250lon34.77103lat32.063821.png
פלאפל בנין,"פלאפל בנין, תל אביב","טשרניחובסקי 2, תל אביב",אוכל רחוב,null,כשר,053-9439116,https://images.rest.co.il/Rests/staticmaps/80103277/s1w566h250lon34.770201lat32.070807.png
מדאמס חומוס,"מדאמס חומוס, רמת אביב, תל אביב","ברזיל 17, רמת אביב, תל אביב",חומוס,null,null,03-7440244,https://images.rest.co.il/Rests/staticmaps/80125281/s1w566h250lon34.796692lat32.111425.png
cofix,"cofix, דיזנגוף, תל אביב","דיזנגוף 91, תל אביב",בית קפה,null,כשר,053-9377296,https://images.rest.co.il/Rests/staticmaps/80242336/s1w566h250lon34.773951lat32.078666.png
מסעדת אבו גוש,"מסעדת אבו גוש, ויצמן סיטי, תל אביב  קניון ויצמן סיטי","ויצמן 14, ויצמן סיטי, תל אביב",חומוס,null,null,03-6091554,https://images.rest.co.il/Rests/staticmaps/80137052/s1w566h250lon34.789015lat32.081726.png
קפה החשמל,"קפה החשמל, תל אביב","החשמל 12, תל אביב",null,null,null,053-9387562,https://images.rest.co.il/Rests/staticmaps/80083204/s1w566h250lon34.775814lat32.06124.png
פנטסטיק,"פנטסטיק, נמל תל-אביב","צידון 1, נמל תל-אביב",מסעדת בשרים,null,null,053-7933144,https://images.rest.co.il/Rests/staticmaps/80307875/s1w566h250lon34.775073lat32.096837.png
עראיס - ARAIS,"עראיס - ARAIS, מתחם שרונה, תל אביב  מתחם שרונה מרקט","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",מסעדת בשרים,בשרים והמבורגר,₪₪,053-9387740,https://images.rest.co.il/Rests/staticmaps/80220770/s1w566h250lon34.787057lat32.071492.png
סטיקהאוס,"סטיקהאוס, דיזנגוף, תל אביב","דיזנגוף 147, תל אביב",null,null,null,03-5223273,https://images.rest.co.il/Rests/staticmaps/80117593/s1w566h250lon34.773936lat32.082997.png
בורקס הכפר,"בורקס הכפר, תל אביב","דרך ההגנה 150, תל אביב",null,null,כשר,053-9378938,https://images.rest.co.il/Rests/staticmaps/80284797/s1w566h250lon34.803868lat32.053989.png
Abraham Hostels – Bar Restaurant,"Abraham Hostels – Bar Restaurant, תל אביב","לבונטין 21, תל אביב",פאב-בר,null,null,053-9378657,https://images.rest.co.il/Rests/staticmaps/80284050/s1w566h250lon34.776418lat32.063128.png
קפה קפה - cafe cafe,"קפה קפה - cafe cafe, יד אליהו, תל אביב  פינת השלושה 13, אשדר 2000","יגאל אלון 53, יד אליהו, תל אביב",בית קפה,null,"כשר בד""ץ",053-7104547,https://images.rest.co.il/Rests/staticmaps/80298058/s1w566h250lon34.791951lat32.062168.png
ג'ויה איטליאנה תל אביב,"ג'ויה איטליאנה תל אביב, רמת החייל, תל אביב","הברזל 4, רמת החייל, תל אביב",מסעדה איטלקית,null,₪₪,053-9429695,https://images.rest.co.il/Rests/staticmaps/80324315/s1w566h250lon34.835872lat32.106769.png
או ז'רדן O'JARDIN,"או ז'רדן O'JARDIN, תל אביב","פרישמן 20, תל אביב",null,null,null,072-2337255,https://images.rest.co.il/Rests/staticmaps/80092305/s1w566h250lon34.770383lat32.079798.png
פאב המנזר,"פאב המנזר, נחלת בנימין, תל אביב","אלנבי 60, נחלת בנימין, תל אביב",פאב-בר,null,null,053-9438938,https://images.rest.co.il/Rests/staticmaps/28548180/s1w566h250lon34.770349lat32.070003.png
אינדירה - indira,"אינדירה - indira, לונדון מיניסטורס, תל אביב","שד' שאול המלך 4, לונדון מיניסטורס, תל אביב",מסעדה הודית,"אוכל ביתי , אוכל הודי ובשרים",₪₪₪,053-9441101,https://images.rest.co.il/Rests/staticmaps/80246455/s1w566h250lon34.782721lat32.075448.png
מלך העופות,"מלך העופות, תל אביב","מרכז בעלי מלאכה 4, תל אביב",null,null,null,03-5283487,https://images.rest.co.il/Rests/staticmaps/80020461/s1w566h250lon34.771472lat32.070199.png
ליאוליב - L'olivier,"ליאוליב - L'olivier, תל אביב","יונה הנביא 48, תל אביב",null,null,null,053-3307516,https://images.rest.co.il/Rests/staticmaps/80268903/s1w566h250lon34.769346lat32.071775.png
סיטיזן,"סיטיזן, תל אביב","מונטיפיורי 15, תל אביב",בית קפה,null,null,054-5566951,https://images.rest.co.il/Rests/staticmaps/80328216/s1w566h250lon34.778934lat32.066236.png
פיצה האט,"פיצה האט, תל אביב","נחלת יצחק 20, תל אביב",פיצריה,null,כשר למהדרין,053-9377082,https://images.rest.co.il/Rests/staticmaps/80270364/s1w566h250lon34.798155lat32.074536.png
פעם שלישית,"פעם שלישית, תל אביב","ניסים אלוני 10, תל אביב",null,null,null,09-7775000,https://images.rest.co.il/Rests/staticmaps/80238886/s1w566h250lon34.796935lat32.088934.png
קפה לנדוור,"קפה לנדוור, פלורנטין, תל אביב  פלורנטין","אברבנאל 72, פלורנטין, תל אביב",null,null,null,053-9379461,https://images.rest.co.il/Rests/staticmaps/80220225/s1w566h250lon34.76701lat32.05573.png
פיצה האט,"פיצה האט, פלורנטין, תל אביב  רביעית פלורנטין","מעון 5, פלורנטין, תל אביב",פיצריה,null,₪,053-9378274,https://images.rest.co.il/Rests/staticmaps/80267696/s1w566h250lon34.766287lat32.055736.png
קפה דורי,"קפה דורי, תל אביב","משה שרת 83, תל אביב",בית קפה,null,כשר,053-9439652,https://images.rest.co.il/Rests/staticmaps/80134028/s1w566h250lon34.794263lat32.087396.png
פיצה האיכר,"פיצה האיכר, נמל תל-אביב  נמל","יורדי הסירה 1, נמל תל-אביב",פיצריה,null,null,053-9378384,https://images.rest.co.il/Rests/staticmaps/80281710/s1w566h250lon34.773923lat32.096394.png
חומוס אליהו,"חומוס אליהו, תל אביב  אוניברסיטת תל אביב",תל אביב,חומוס,null,null,050-8234038,https://images.rest.co.il/Rests/staticmaps/80327964/s1w566h250lon34.778934lat32.066236.png
אספרסו בר,"אספרסו בר , תל אביב","המכבי 57, תל אביב",בית קפה,null,null,053-9443774,https://images.rest.co.il/Rests/staticmaps/76968180/s1w566h250lon34.771346lat32.07172.png
המעוז - Hamaoz,"המעוז - Hamaoz, תל אביב","המלך ג'ורג' 32, תל אביב",בית קפה,null,null,053-9366089,https://images.rest.co.il/Rests/staticmaps/80076272/s1w566h250lon34.77422lat32.072421.png
מאמאיה,"מאמאיה, תל אביב","בן יהודה 192, תל אביב",מסעדת בשרים,null,₪₪₪,053-9443077,https://images.rest.co.il/Rests/staticmaps/10291150/s1w566h250lon34.773753lat32.089057.png
בית העמודים,"בית העמודים, תל אביב","רמב""ם 14, תל אביב",פאב-בר,null,null,03-5109228,https://images.rest.co.il/Rests/staticmaps/80123388/s1w566h250lon34.769732lat32.067735.png
אוטו גלידה,"אוטו גלידה, צפון תל אביב","שד' קק""ל 99, צפון תל אביב",null,null,null,052-5243363,https://images.rest.co.il/Rests/staticmaps/80189869/s1w566h250lon34.81221lat32.119068.png
מוזס - Moses,"מוזס  - Moses, רמת החייל, תל אביב","הברזל 26, רמת החייל, תל אביב",מסעדת המבורגרים,null,₪,053-9442843,https://images.rest.co.il/Rests/staticmaps/80048515/s1w566h250lon34.839973lat32.109024.png
פינת הקבב,"פינת הקבב, שכונת התקווה, תל אביב","אצ""ל 65, שכונת התקווה, תל אביב",מסעדת בשרים,null,"כשר בד""ץ",053-9377577,https://images.rest.co.il/Rests/staticmaps/80124742/s1w566h250lon34.791947lat32.050387.png
ג'קסון,"ג'קסון, פלורנטין, תל אביב","ויטל חיים 4, פלורנטין, תל אביב",פאב-בר,null,null,053-9367476,https://images.rest.co.il/Rests/staticmaps/36298390/s1w566h250lon34.767806lat32.056559.png
gfk,"gfk, תל אביב","קרמניצקי 2, תל אביב",null,null,null,03-5252789,https://images.rest.co.il/Rests/staticmaps/80323464/s1w566h250lon34.778934lat32.066236.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, רחוב הארבעה, תל אביב  מגדל המילניום","רחוב הארבעה 17, תל אביב",בית קפה,null,₪,09-9607167,https://images.rest.co.il/Rests/staticmaps/80049078/s1w566h250lon34.786504lat32.070447.png
נאור פסר,"נאור פסר, תל אביב","מל""ן 4, תל אביב",null,null,null,03-9215556,https://images.rest.co.il/Rests/staticmaps/80196278/s1w566h250lon34.766619lat32.069832.png
